V.       STD3-348  INCO 388 011110010100010101100101111101111011110000101100011111111001110111111111111111111100111101111111
V.       STD3-348  INCO 377 011110010100011111100101111101111011111101111100011111110101110111111111011111111100011101011111
V.       STD3-348  INCO 389 111111111110011111111111111111111111111101111110011111111101110111111111111111111110011100011111
V.       STD3-348  INCO 400 011110111110011111110101111111111011111101110100011111110001111111111111111111111100111101111111
V.       STD3-348  INCO 376 111111111111111111111111111111111111111101111111011111111101111111111111111111111111111111111111
V.        harveyi  FKFO 209 011111010101010111000111111000111011110000101000001111010001101101111111000001011100011100001011
V.       STD3-348  FKFO 204 011111010100010001000101011000110011110000000000001111010001100111111111101101011100111100001111
V.       STD3-348  FKFO 234 011111010100010001000101011000110011100000000000001111010001100011111111001101011100111100001111
V.       STD3-348  FKFO 230 111111111110111111100111111101111111110101110111011111110101111111111111111111111110111111111111
V.        harveyi  FKFO 215 111111111101011111011111111111111111111011111100101111011101111111111111111111111101111111111111
V.            sp.  FKFO 222 111111010110111111111111111111110111111111111111101101111101111111111111111111111111111111111111
V.       STD3-348  FKFO 221 011111010100010001000101011000111011110000000100001111010001100111111111101111011101111110111111
V.       STD3-348  FKFO 214 111111111111011111110111111001111011110001110110011111110101110111111111111111111110111100111111
V.  alginolyticus  FKFO 226 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
V.        harveyi  FKFO 250 011111010101010111001111111101111011110001101000001111000001111111111111000111111100111101101111
V.        harveyi  FKFO 235 011111010101010111000111111000110011110000101000101111000001101011111111000101011100111101111111
V.       STD3-348  FKFO 239 011111010100010001000101011000110011100000000000001101010001100111111111000101011100011100001011
V.        harveyi  FKFO 260 011111010101010111000111111000111011110000101000101111010001111111111111000111111111111111111111
V.        harveyi  FKFO 255 011111010111011111001111111111111111111001101100001111111001111111111111101011111111111111111111
V.       STD3-348  FKFO 254 011111010100010001000101011000110011100000000100001111010001100111111111101101011100011100001111
V.       STD3-348  FKFO 244 011111010100010001000101011000110011111000000100001111010001100111111111101001011100011100001111
V.       STD3-348  FKFO 259 111111010100010001000101111000111011110000000100001111010001100111111111101101011100111111101111
V.  alginolyticus  FKFO 249 111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111
V.        harveyi  FKFO 240 011111111111011111010111111111111011110001101000101101011001111111111111101111111101111111111111
V.       STD3-348  FKFO 248 001110010100010001000101011000110011100000000000001101000001100011111111000001011100010100001111
V.       STD3-348  FKFO 225 001110010000010001000101011000110011100000000000000001000001000011111111000001011000011100000011
V.  alginolyticus       SP1 011111010000111011000110111001111011111100100100111111111001111111111111111111111111111111111111
V.  alginolyticus       SP2 111111011111111111111111111111111111111101111110111111111101111111111111111111111111111111111111
V.  ichthyoenteri  DPL5 902 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.  alginolyticus  DPL1 101 011111010000011011010110111000111011110100100000101111010001110111111111111101111100111101001111
V.  alginolyticus  DPL1 401 111111111101111011010110111101111111111101111100111111111101111111111111111111111111111101111111
V.  alginolyticus      SPT3 111111110101111011010110111101111011110100100100101111111001110111111111111111111100111101111111
V.  alginolyticus  DPL5 801 011111010001010111000111011001111011110100100000001111010001100111111111111101001100111100101111
V.       STD3-348  FKFO 258 011111010100010001000101011000111011110000100100001111010001100111111111101101011101111111111111
V.       STD3-348  FKFO 253 011111010100010001000101011000110011100000000100001111010001100111111111001101011100011100001111
V.       STD3-348  FKFO 247 111111111111111111111111111111111111111111111110011111111101111111111111111111111111111111111111
V.        harveyi  FKFO 232 111111111101111111011111111111111111111111101100101111011001111111111111010111111111111111111111
V.            sp.       IM4 001111010100010101000110011000110011111000100010001100000001100111111101100001001100111101011000
V.        harveyi       IM5 001111010100010001000111001000110010000000101000000101000001000001111111000001001100011100001011
V.            sp.      IM11 001111010101010001000111001000110010110000101000000101000001000001111111000001011100011100001011
V.           IM10      IM10 001111010101010001000111011001101010000000001000001001000100000000011000000000000000010000000000
V.           IM10      IM13 001111000101010001000011010001100010000000000000000000000000000000000000000000000000000000000000
V.           IM25      IM23 001100000100010001000110000000110010000000001000000001000000000000011100000000000000010000000000
V.           IM25      IM25 101100010000010001000110000000110010000000000000000000000000000000011100000000001000010000000000
V.            sp.      IM26 000000010101010011000000011000110010000000100000000100000000000000000000000000000000000000000000
V.        VIB 210    JAL 17 001111010101010001000111001000010010000000101000100101000000000001110111000001001100010100001011
V.       FKFO 153    JAL 13 001101010101010001000111001000110010010000100000100101000000000000111111000001001000011100001011
V.        FKFO 99    JAL 23 001100010001010101000111001000010000000000101000000101000000000000100101000000001100010100000011
V.        FKFO 99    JAL 28 001101010101010001000111000000010010000000101000000110000000000000010100000000000000011100001011
V.        FKFO 99    JAL 18 001101010101010001000111001000010010000000000000100100000000000000001101000000001000010000001011
V.        VIB 478   VIB 166 001000010000000001000111000000110000000000100000000000000000000000000000000000000000010000000011
V.        VIB 472   VIB 145 000010010001010001000111000000010000000000000000000000000001000000010000000000000000010000001011
V.        VIB 210   VIB 239 001000010001010001000111000000010010000000101000000001000001000001111110000000001100011100001011
V.      STD3-1085   VIB 240 001100010100010001000110000001110010000000101000000001000000000001111110000000001100011000001000
V.parahaemolyticu  Xu. 2-5B 011100010100010101000111010000010010000000101000000001000001000000011111000000001000010000001011
V.parahaemolyticu  Xu. 2-5C 011100010100010101000111010000010010000000101000000001000001000000111111000000001100010000001011
V.parahaemolyticu  Xu. 2-5D 011000010100010101000111010000010011000000101000000101010001000001111111010001001100011100001111
V.       STD3-988  Xu. 9014 011100010000010101000110000000110010000000100000000101000001000000010000000000000000011000001000
V.  alginolyticus  Xu. 9091 011100010000010001000110000000110011000000100000000101010001000011111111110001001100011100001111
V.     splendidus  Xu. 9092 011100010100010001000111010000010010000000100000000001000000000000011110000000000000010000001011
V.         VIB 66    VIB 66 001000010000010001000111000001110000000000000000000000000000000000000110000000000000010000000000
V.      STD3-1018    VIB 71 000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000
V.STD3-1018 pisci    VIB 75 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.       albensis   VIB 172 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.            sp.   VIB 173 000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000
V.        ordalii   VIB 174 001000000000000001000100000000100000000000000000000000000000000000000000000000000000010000000000
V.            sp.    VIB 18 000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000
V.     vulnificus LMG 13638 001000000001010011000101010000010010000000100000000000000000000000010000000000000000010000000011
V.      furnissii LMG 11758 011100110111000101010010010000110010011001100000000101000001000011111111000001001101010100001111
V.      LMG 10942 LMG 10942 011010010000011001111111001111111110011111111100001101111001110111111111111101101110011101001111
V.  alginolyticus LMG 11213 011111010000010101000111001000110011110000100000000101010001100011111111110001001100011100001111
V.  alginolyticus LMG 10943 011110010000010001000110000000110011010000100000000101010001100011111111110001101100011101101111
V.      furnissii LMG 11757 001100110100000101010111010000110010011101100010000101010001000011111111100001001100011100001111
V.        VIB 534 LMG 13637 011100010001000011000111010000010010000000000000000000000000000000000000000000000000010000000011
V.        harveyi PmH 293 S 000010010001000011000111000000010010000000101000000001000001000001111110000000011100001000001011
